,Set,Name,Amount,Foil?,Notes
,Zendikar,Spell Pierce,2,,
,Zendikar,Trapmaker's Snare,1,,
,Rise of the Eldrazi,Guard Gomazoa,1,,
,Rise of the Eldrazi,Merfolk Observer,1,,
,Rise of the Eldrazi,Merfolk Skyscout,1,,
,Torment,Ghostly Wings,1,,
,Mirrodin,Thoughtcast,1,,
,Mirrodin,Domineer,1,,
,Mirrodin Besieged,Turn the Tide,1,,
,Mirrodin Besieged,Fuel for the Cause,1,,
,Mirrodin Besieged,Serum Raker,1,,
,Shadowmoor,River Kelpie,1,,
,Innistrad,Gatstaf Shepherd,1,,
,Innistrad,Woodland Sleuth,4,,
,Innistrad,Grizzled Outcasts,6,,
,Innistrad,Villagers of Estwald,6,,
,Innistrad,Hamlet Captain,3,,
,Innistrad,Avacyn's Pilgrim,2,,
,Innistrad,Ulvenwald Mystics,3,,
,Innistrad,Orchard Spirit,8,,
,Innistrad,Kindercatch,4,,
,Innistrad,Hollowhenge Scavenger,3,,
,Innistrad,Festerhide Boar,6,,
,Innistrad,Grave Bramble,7,,
,Innistrad,Ambush Viper,4,,
,Innistrad,Boneyard Wurm,6,,
,Innistrad,Lumberknot,4,,
,Innistrad,Darkthicket Wolf,3,,
,Innistrad,Somberwald Spider,1,,
,Innistrad,Furor of the Bitten,7,,
,Innistrad,Curse of the Pierced Heart,5,,
,Innistrad,Curse of the Nightly Hunt,3,,
,Innistrad,Burning Vengeance,2,,
,Innistrad,Bloodcrazed Neonate,4,,
,Innistrad,Feral Ridgewolf,5,,
,Innistrad,Kessig Wolf,7,,
,Innistrad,Skirsdag Cultist,2,,
,Innistrad,Tormented Pariah,7,,
,Innistrad,Pitchburn Devils,7,,
,Innistrad,Hanweir Watchkeep,4,,
,Innistrad,Riot Devils,3,,
,Innistrad,Scourge of Geier Reach,5,,
,Innistrad,Rakish Heir,2,,
,Innistrad,Rage Thrower,3,,
,Innistrad,Crossway Vampire,5,,
,Innistrad,Village Ironsmith,3,,
,Innistrad,Ashmouth Hound,6,,
,Innistrad,Night Revelers,4,,
,Innistrad,Ancient Grudge,4,,
,Innistrad,Geistflame,7,,
,Innistrad,Harvest Pyre,1,,
,Innistrad,Vampiric Fury,4,,
,Innistrad,Brimstone Volley,2,,
,Innistrad,Infernal Plunge,9,,
,Innistrad,Rolling Temblor,4,,
,Innistrad,Nightbird's Clutches,7,,
,Innistrad,Traitorous Blood,8,,
,Innistrad,Blasphemous Act,1,,
,Innistrad,Kruin Outlaw,1,,
,Innistrad,Charmbreaker Devils,1,,
,Innistrad,Rotting Fensnake,10,,
,Innistrad,Typhoid Rats,5,,
,Innistrad,Stromkirk Patrol,11,,
,Innistrad,Brain Weevil,8,,
,Innistrad,Markov Patrician,7,,
,Innistrad,Manor Skeleton,6,,
,Innistrad,Disciple of Griselbrand,5,,
,Innistrad,Walking Corpse,8,,
,Innistrad,Morkrut Banshee,2,,
,Innistrad,Falkenrath Noble,3,,
,Innistrad,Bitterheart Witch,4,,
,Innistrad,Village cannibals,3,,
,Innistrad,Vampire Interloper,4,,
,Innistrad,Ghoulraiser,1,,
,Innistrad,Diregraf Ghoul,1,,
,Innistrad,Abattoir Ghoul,2,,
,Innistrad,Unbreathing Horde,1,,
,Innistrad,Bloodline Keeper,1,,
,Innistrad,Heartless Summoning,1,,
,Innistrad,Curse of Oblivion,7,,
,Innistrad,Dead Weight,5,,
,Innistrad,Skeletal Grimace,4,,
,Innistrad,Gruesome Deformity,5,,
,Innistrad,Ghoulcaller's Chant,8,,
,Innistrad,Army of the Damned,3,,
,Innistrad,Moan of the Unhallowed,4,,
,Innistrad,Unburial Rites,2,,
,Innistrad,Bump in the Night,6,,
,Innistrad,Maw of the Mire,6,,
,Innistrad,Night Terrors,2,,
,Innistrad,Victim of Night,1,,
,Innistrad,Altar's Reap,2,,
,Innistrad,Tribute to Hunger,2,,
,Innistrad,Corpse Lunge,7,,
,Innistrad,Bramblecrush,2,,
,Innistrad,Caravan Vigil,5,,
,Innistrad,Travel Preparations,3,,
,Innistrad,Make a Wish,5,,
,Innistrad,Spider Spawning,5,,
,Magic 2010,Rampant Growth,1,,
,Innistrad,Mulch,10,,
,Innistrad,Prey Upon,6,,
,Innistrad,Full Moon's Rise,4,,
,Innistrad,Wreath of Geists,1,,
,Innistrad,Gnaw to the Bone,8,,
,Innistrad,Moonmist,4,,
,Innistrad,Ranger's Guile,6,,
,Zendikar,Vines of Vastwood,1,,
,Innistrad,Spidery Grasp,5,,
,Innistrad,Naturalize,5,,
,Innistrad,Mask of Avacyn,4,,
,Innistrad,Cobbled Wings,4,,
,Innistrad,Demonmail Hauberk,3,,
,Innistrad,Trepanation Blade,1,,
,Innistrad,Sharpened Pitchfork,4,,
,Innistrad,Wooden Stake,5,,
,Innistrad,Inquisitor's Flail,3,,
,Innistrad,Blazing Torch,5,,
,Innistrad,Silver-Inlaid Dagger,1,,
,Innistrad,Ghoulcaller's Bell,5,,
,Innistrad,Cellar Door,5,,
,Innistrad,Graveyard Shovel,1,,
,Innistrad,Traveler's Amulet,5,,
,Innistrad,Galvanic Juggernaut,2,,
,Innistrad,One-Eyed Scarecrow,3,,
,Magic 2012,Garruk's Companion,4,,
,Magic 2012,Gladecover Scout,3,,
,Magic 2012,Stampeding Rhino,2,,
,Magic 2012,Runeclaw Bear,7,,
,Magic 2012,Llanowar Elves,7,,
,Magic 2012,Lurking Crocodile,1,,
,Magic 2012,Carnage Wurm,2,,
,Magic 2012,Acidic Slime,3,,
,Magic 2012,Sacred Wolf,2,,
,Magic 2012,Vastwood Gorger,1,,
,Magic 2012,Giant Spider,4,,
,Magic 2012,Stingerfling Spider,1,,
,Magic 2012,Brindle Boar,1,,
,Magic 2012,Greater Basilisk,1,,
,Magic 2012,Lure,1,,
,Magic 2012,Arachnus Web,2,,
,Magic 2012,Trollhide,2,,
,Magic 2012,Rampant Growth,1,,
,Magic 2012,Overrun,3,,
,Magic 2012,Bountiful Harvest,1,,
,Magic 2012,Autumn's Veil,1,,
,Magic 2012,Titanic Growth,1,,
,Magic 2012,Naturalize,2,,
,Magic 2012,Hunter's Insight,1,,
,Magic 2012,Fog,4,,
,Magic 2012,Reclaim,2,,
,Magic 2012,Plummet,1,,
,Mirrodin Besieged,Ichor Wellspring,1,,
,Mirrodin Besieged,Viridian Claw,1,,
,Mirrodin Besieged,Copper Carapace,2,,
,Mirrodin Besieged,Flayer Husk,2,,
,Mirrodin Besieged,Hexplate Golem,1,,
,Mirrodin Besieged,Plague Myr,1,,
,Mirrodin Besieged,Brass Squire,1,,
,Mirrodin Besieged,Tangle Hulk,1,,
,Mirrodin Besieged,Nested Ghoul,1,,
,Mirrodin Besieged,Flensermite,1,,
,Mirrodin Besieged,Phyrexian Rager,2,,
,Mirrodin Besieged,Caustic Hound,2,,
,Mirrodin Besieged,Morbid Plunder,1,,
,Mirrodin Besieged,Viridian Emissary,3,,
,Mirrodin Besieged,Glissa's Courier,1,,
,Mirrodin Besieged,Unnatural Predation,1,,
,Mirrodin Besieged,Crush,1,,
,Mirrodin Besieged,Rally the Forces,1,,
,Mirrodin Besieged,Blisterstick Shaman,2,,
,Mirrodin Besieged,Ogre Resister,1,,
,Mirrodin Besieged,Spiraling Duelist,1,,
,Avacyn Restored,Battle Hymn,3,,
,Avacyn Restored,Banners Raised,2,,
,Avacyn Restored,Aggravate,1,,
,Avacyn Restored,Thunderbolt,1,,
,Avacyn Restored,Dangerous Wager,3,,
,Avacyn Restored,Raging Poltergeist,4,,
,Avacyn Restored,Riot Ringleader,3,,
,Avacyn Restored,Hanweir lancer,3,,
,Avacyn Restored,Heirs of Stromkirk,3,,
,Avacyn Restored,Kruin Striker,2,,
,Avacyn Restored,Falkenrath Exterminator,2,,
,Avacyn Restored,Somberwald Vigilante,2,,
,Avacyn Restored,Scalding Devil,1,,
,Avacyn Restored,Fervent Cathar,1,,
,Avacyn Restored,Stonewright,1,,
,Avacyn Restored,Havengul Vampire,1,,
,Avacyn Restored,Thatcher Revolt,1,,
,Avacyn Restored,Demolish,1,,
,Avacyn Restored,Pillar of Flame,1,,
,Avacyn Restored,Vigilante Justice,2,,
,Avacyn Restored,Guise of Fire,1,,
,Avacyn Restored,Lightning Prowess,1,,
,Avacyn Restored,Malicious Intent,3,,
,Avacyn Restored,Sheltering Word,1,,
,Avacyn Restored,Natural End,1,,
,Avacyn Restored,Snare the Skies,3,,
,Avacyn Restored,Joint Assault,2,,
,Avacyn Restored,Rain of Thorns,1,,
,Avacyn Restored,Lair Delve,1,,
,Avacyn Restored,Grounded,4,,
,Avacyn Restored,Abundant Growth,1,,
,Avacyn Restored,Wolfir Avenger,4,,
,Avacyn Restored,Pathbreaker Wurm,3,,
,Avacyn Restored,Trusted Forcemage,3,,
,Avacyn Restored,Timberland Guide,2,,
,Avacyn Restored,Wandering Wolf,2,,
,Avacyn Restored,Druid's Familiar,1,,
,Avacyn Restored,Howlgeist,1,,
,Avacyn Restored,Geist Trappers,4,,
,Avacyn Restored,Diregraf Escort,1,,
,Avacyn Restored,Nettle Swine,3,,
,Avacyn Restored,Nightshade Peddler,1,,
,Avacyn Restored,Vorstclaw,1,,
,Avacyn Restored,Flowering Lumberknot,1,,
,Avacyn Restored,Evernight Shade,1,,
,Avacyn Restored,Crypt Creeper,3,,
,Avacyn Restored,Renegade Demon,1,,
,Avacyn Restored,Searchlight Geist,3,,
,Avacyn Restored,Blood Artist,4,,
,Avacyn Restored,Driver of the Dead,4,,
,Avacyn Restored,Demonic Taskmaster,2,,
,Avacyn Restored,Undead Executioner,2,,
,Avacyn Restored,Hunted Ghoul,3,,
,Avacyn Restored,Renegade Demon,1,,
,Avacyn Restored,Soulcage Fiend,1,,
,Avacyn Restored,Butcher Ghoul,2,,
,Avacyn Restored,Corpse Traders,1,,
,Avacyn Restored,Maalfeld Twins,1,,
,Avacyn Restored,Bone Splinters,2,,
,Avacyn Restored,Mental Agony,6,,
,Avacyn Restored,Appetite for Brains,2,,
,Avacyn Restored,Essence Harvest,2,,
,Avacyn Restored,Grave Exchange,2,,
,Avacyn Restored,Barter in Blood,1,,
,Avacyn Restored,Ghoulflesh,2,,
,Avacyn Restored,Homicidal Seclusion,1,,
,Avacyn Restored,Unhallowed Pact,2,,
,Avacyn Restored,Triumph of Cruelty,2,,
,Avacyn Restored,Predator's Gambit,2,,
,Avacyn Restored,Necrobite,3,,
,Avacyn Restored,Death Wind,1,,
,Avacyn Restored,Human Frailty,1,,
,Avacyn Restored,Haunted Guardian,1,,
,Avacyn Restored,Narstad Scrapper,1,,
,Avacyn Restored,Tormentor's Trident,1,,
,Avacyn Restored,Vanguard's Shield,2,,
,Avacyn Restored,Scroll of Avacyn,3,,
,Avacyn Restored,Scroll of Griselbrand,2,,
,Avacyn Restored,Angel's Tomb,3,,
,Magic 2012,Goblin Arsonist,4,,
,Magic 2012,Fiery Hellhound,4,,
,Magic 2012,Goblin Bangchuckers,1,,
,Magic 2012,Blood Ogre,4,,
,Magic 2012,Manic Vandal,2,,
,Magic 2012,Volcanic Dragon,1,,
,Magic 2012,Gorehorn Minotaurs,2,,
,Magic 2012,Goblin Tunneler,2,,
,Magic 2012,Crimson Mage,1,,
,Magic 2012,Bonebreaker Giant,4,,
,Magic 2012,Stormblood Berserker,2,,
,Magic 2012,Goblin Fireslinger,3,,
,Magic 2012,Goblin PIker,1,,
,Magic 2012,Wall of Torches,1,,
,Magic 2012,Tectonic Rift,2,,
,Magic 2012,Fireball,2,,
,Magic 2012,Circle of Flame,1,,
,Magic 2012,Slaughter Cry,1,,
,Magic 2012,Shock,5,,
,Magic 2012,Chandra's Outrage,2,,
,Magic 2012,Reverberate,1,,
,Magic 2012,Incinerate,1,,
,Magic 2012,Cemetery Reaper,2,,
,Magic 2012,Vampire Outcasts,2,,
,Magic 2012,Onyx Mage,3,,
,Magic 2012,Sengir Vampire,2,,
,Magic 2012,Reassembling Skeleton,3,,
,Magic 2012,Warpath Ghoul,5,,
,Magic 2012,Zombie Goliath,3,,
,Magic 2012,Child of Night,2,,
,Magic 2012,Tormented Soul,2,,
,Magic 2012,Devouring Swarm,3,,
,Magic 2012,Gravedigger,2,,
,Magic 2012,Bloodrage Vampire,3,,
,Magic 2012,Duskhunter Bat,4,,
,Magic 2012,Doom Blade,4,,
,Magic 2012,Sorin's Thirst,1,,
,Magic 2012,Distress,2,,
,Magic 2012,Mind Rot,1,,
,Magic 2012,Disentomb,2,,
,Magic 2012,Hideous Visage,2,,
,Magic 2012,Taste of Blood,1,,
,Magic 2012,Deathmark,1,,
,Magic 2012,Consume Spirit,1,,
,Magic 2012,Dark Favor,2,,
,Magic 2012,Brink of Disaster,2,,
,Magic 2012,Zombie Infestation,1,,
,Magic 2012,Crumbling Colossus,2,,
,Magic 2012,Rusted Sentinel,2,,
,Magic 2012,Scepter of Empires,3,,
,Magic 2012,Crown of Empires,1,,
,Magic 2012,Wurm's Tooth,1,,
,Magic 2012,Manalith,1,,
,Magic 2012,Elixir of Immortality,3,,
,Magic 2012,Arachnus Web,1,,In binder
,Visions,Ovinomancer,1,,In binder
,Visions,Man-o'-War,1,,In binder
,Visions,Coercion,1,,In binder
,Visions,Dwarven Vigilantes,1,,In binder
,Visions,Undiscovered Paradise,1,,In binder
,Visions,Remedy,1,,In binder
,Visions,River Boa,1,,In binder
,Visions,Dark Privilege,1,,In binder
,Visions,Magma Mine,1,,In binder
